Title,Author,Category,Description,Query,Published,Modified
"CPU Thresholds, Warnings, and Risk Scoring -",SplunkNinja,Perfmon:CPU Load,,"'sourcetype=""Perfmon:CPU Load"" |bucket _time span=30m | eval Load=round(Value,2) | stats avg(Load) as AVGL by host, _time | chart avg(AVGL) as AverageCPU by host | \xa0eval ""CPULoad""=case(AverageCPU&gt;90, ""Critical"", AverageCPU&gt;=70 AND AverageCPU&lt;=89, ""Warning"", AverageCPU&gt;=40 AND AverageCPU&lt;=69, ""Elevated"", AverageCPU&lt;40, ""Normal"") | stats count by CPULoad | sort - count CPULoad', u'&lt;option name=""charting.fieldColors""&gt;{""Critical"":0xD64541,""Warning"":0xF89406,""Elevated"":0x3498DB,""Normal"":0x2ECC71}&lt;/option&gt;'",2015-10-14T11:22:57+00:00,
Splunk User Search Activity -,CattyWampus,audittrail,"This will return a table of users who conducted searches, the total time it took for searches to complete, a count of said searches, and the last time a search was conducted. *NOTE* You will need to modify &#8220;splunk_server=local&#8221; specifically the &#8220;local&#8221; section to represent your Splunk server. ","'index=_audit splunk_server=local action=search (id=* OR search_id=*) | eval search_id = if(isnull(search_id), id, search_id) | replace \'*\' with * in search_id | rex ""search=\'search\\s(?&lt;search&gt;.*?)\',\\sautojoin""| search search_id!=scheduler_* | convert num(total_run_time) | eval user = if(user=""n/a"", null(), user) | stats min(_time) as _time first(user) as user max(total_run_time) as total_run_time first(search) as search by search_id | search search!=*_internal* search!=*_audit* | chart sum(total_run_time) as ""Total search time"" count as ""Search count"" max(_time) as ""Last use"" by user | fieldformat ""Last use"" = strftime(\'Last use\', ""%F %T.%Q"")'",2014-11-10T13:44:27+00:00,2015-10-22T16:15:32+00:00
Successful Linux Logons by Username -,ItsJohnLocke,linux_secure,"As stated in the title, this Splunk search query will return a list of all successful logons by user name on linux hosts. The regex is provided in the event the field is not extracted: ","'sourcetype=linux_secure |rex ""\\w{3}\\s\\d{1,2}\\s\\d{2}:\\d{2}:\\d{2}\\s\\S+\\s(?&lt;session&gt;gdm-\\w+)\\S:\\s""| search session=gdm-password | rex ""\\w{3}\\s\\d{1,2}\\s\\d{2}:\\d{2}:\\d{2}\\s(?&lt;hostname&gt;\\S+)\\s.+\\Sgdm-password:auth\\S:\\s(?&lt;authstatus&gt;\\w+\\s\\w+);\\s.+user=(?&lt;username&gt;\\S+)"" | search authstatus=""authentication success"" | stats count by username'",2015-11-19T14:38:11+00:00,2015-11-24T14:12:29+00:00
Timechart of Linux Logons -,ItsJohnLocke,linux_secure,The following splunk search will return a timechart of all successful logons for a given linux environment (regex provided): ,"'sourcetype=linux_secure |rex ""\\w{3}\\s\\d{1,2}\\s\\d{2}:\\d{2}:\\d{2}\\s\\S+\\s(?&lt;session&gt;gdm-\\w+)\\S:\\s""| search session=gdm-password | rex ""\\w{3}\\s\\d{1,2}\\s\\d{2}:\\d{2}:\\d{2}\\s(?&lt;hostname&gt;\\S+)\\s.+\\Sgdm-password:auth\\S:\\s(?&lt;authstatus&gt;\\w+\\s\\w+);\\s.+user=(?&lt;username&gt;\\S+)"" | search authstatus=""authentication success"" | timechart count(username)', u'sourcetype=linux_secure |rex ""\\w{3}\\s\\d{1,2}\\s\\d{2}:\\d{2}:\\d{2}\\s\\S+\\s(?&lt;session&gt;gdm-\\w+)\\S:\\s""| search session=gdm-password | rex ""\\w{3}\\s\\d{1,2}\\s\\d{2}:\\d{2}:\\d{2}\\s(?&lt;hostname&gt;\\S+)\\s.+\\Sgdm-password:auth\\S:\\s(?&lt;authstatus&gt;\\w+\\s\\w+);\\s.+user=(?&lt;username&gt;\\S+)"" | search authstatus=""authentication failure"" | timechart count(username)'",2015-11-24T20:20:48+00:00,
List of Failed Login Attempts in Linux -,ItsJohnLocke,linux_secure,"This Splunk search will show a count of all user accounts and a number of times they have attempted to logon. The REGEX is written into the query, remove it if you are already extracting those field names: &nbsp; ","'sourcetype=linux_secure |rex ""\\w{3}\\s\\d{1,2}\\s\\d{2}:\\d{2}:\\d{2}\\s\\S+\\s(?&lt;session&gt;gdm-\\w+)\\S:\\s""| search session=gdm-password | rex ""\\w{3}\\s\\d{1,2}\\s\\d{2}:\\d{2}:\\d{2}\\s(?&lt;hostname&gt;\\S+)\\s.+\\Sgdm-password:auth\\S:\\s(?&lt;authstatus&gt;\\w+\\s\\w+);\\s.+user=(?&lt;username&gt;\\S+)"" | search authstatus=""authentication failure"" | stats count by username | sort - count'",2015-11-18T12:15:54+00:00,2015-11-25T12:57:57+00:00
List Ports Forwarders are Using -,ItsJohnLocke,_internal,Use the following Splunk Search Query to list what ports your Universal Forwarders are using to communicate to the Indexer: ,"'index=""_internal"" source=""*metrics.lo*"" group=tcpin_connections NOT eventType=*\xa0 | dedup sourceHost |stats count by destPort'",2015-11-17T15:34:22+00:00,2015-11-25T12:59:27+00:00
Splunk Server Restart Duration -,ItsJohnLocke,_internal,"As titled, the following Splunk search query will show the restart duration (using the transaction command) of the Splunk service itself. &nbsp; ","'index=_audit (action=""splunkShuttingDown"" OR action=""splunkStarting"") | eval Date=strftime(_time, ""%Y/%m/%d"") | transaction splunk_server startswith=action=""splunkShuttingDown"" endswith=action=""splunkStarting"" | eval duration=round(duration/60, 2) |table Date splunk_server duration| rename duration as ""Splunk Restart Duration"" splunk_server as ""Splunk Server""'",2015-12-07T15:18:27+00:00,2015-12-07T15:18:43+00:00
Queries Executed in DBConnect -,ItsJohnLocke,audittrail,,"'index=_audit sourcetype=audittrail action=""db_connect_execute_query"" |rex ""user=(?&lt;user&gt;\\S+),\\s"" | rex mode=sed ""s/%20/ /g"" |rex mode=sed ""s/%5D//g"" |rex mode=sed ""s/%5B//g"" |rex mode=sed ""s/%3D/=/g"" |rex mode=sed ""s/%0A/ /g"" |rex mode=sed ""s/%2C/,/g"" |rex mode=sed ""s/%2F/\\//g"" |rex mode=sed ""s/%22/\\""/g"" | rex ""\\sREST:\\s\\/db_connect\\/query\\/.+SELECT(?&lt;DB_Query&gt;.+).\\w\\S\\w"" | table timestamp user DB_Query'",2015-12-08T14:40:50+00:00,
Permissions for splunk users -,manderso,_internal,Another view for which splunk user can do what in your splunk environment ,"'| rest /services/authentication/users | mvexpand roles | table realname, title, roles, email | join roles  rest /services/authorization/roles | rename title as roles | search srchIndexesAllowed=* | table roles srchIndexesAllowed'",2015-12-09T02:04:23+00:00,2015-12-17T03:31:30+00:00
Simple GeoIP Information for Web Traffic -,ItsJohnLocke,IIS,,"'sourcetype=""iis"" | iplocation c_ip | fillnull value=""Unknown"" Country | eval GeoLocation=case(Country=""United States"", ""Views from the United States"", Country=""Unknown"", ""Views from Unknown Origins"", Country!=""United States"" AND Country!=""Unknown"", ""International Views"") | top limit=3 GeoLocation | eval percent = round(percent,2) . "" %"" | rename GeoLocation as ""Visitor Nationality"" | rename percent as Percent | fields - count'",2015-10-29T19:17:43+00:00,2015-12-17T03:35:13+00:00
rangemap command with single value string -,Suren,_internal,,"'index=_internal sourcetype=splunkd OR sourcetype=splunkd_access | stats latest(sourcetype) as sourcetype | eval sourcetypeidx=case(sourcetype=""splunkd"",2,sourcetype=""splunkd_access"",1) | rangemap field=sourcetypeidx severe=0-1 low=2-4 default=low'",2016-01-13T19:26:25+00:00,
Search to show what apps are ready to be updated -,manderso,_internal,,"'| rest splunk_server=local /services/apps/local | search update.version=* | table title version update.version', u'&lt;i&gt;&lt;span style=""font-size: 10.0pt; color: #333333;""&gt;update.*&lt;/span&gt;&lt;/i&gt;', u'&lt;i&gt;&lt;span style=""font-size: 10.0pt; color: #333333;""&gt;splunk_server&lt;/span&gt;&lt;/i&gt;'",2016-01-13T19:24:52+00:00,2016-01-13T19:34:43+00:00
How to Check When Splunk is finished Indexing a log file -,Suren,_internal,How can I tell when Splunk is finished indexing a log file? (Credit for this one goes to learnsplunk.com author who originally posted it on his website) By watching \xa0data from splunk&#8217;s metrics log in real-time. ************************************************************ ,"'index=""_internal"" source=""*metrics.log"" group=""per_sourcetype_thruput"" series=""your_sourcetype_here"" | eval MB=kb/1024 | chart sum(MB)', u'index=""_internal"" source=""*metrics.log"" group=""per_sourcetype_thruput"" | eval MB=kb/1024 | chart sum(MB) avg(eps) over series'",2016-01-13T19:25:47+00:00,2016-01-14T11:46:54+00:00
User Activity in DBConnect -,SplunkNinja,_internal,The following Splunk query is for the DBConnect app. \xa0This will return all user activity using this particular app. I&#8217;ve provided the regex in the search. &nbsp; ,"'index=_audit sourcetype=audittrail action=""db_connect*"" |eval Date=strftime(_time, ""%Y/%d/%m"") |rex ""user=(?&lt;user&gt;\\S+),"" | stats count by Date, user, info, action'",2016-01-26T20:13:08+00:00,2016-01-26T20:15:54+00:00
Qualys Active OS Vuln Count -,CattyWampus,Qualys,The following Splunk Search (query) is for Qualys and will show vulnerability count for Windows Hosts. This query assumes that your index is defined as qualys. ,"'index=qualys HOSTVULN SEVERITY=3 OR 4 OR 5 TYPE=""CONFIRMED"" earliest=-30d@d | dedup HOST_ID, QID | search STATUS!=""FIXED"" |join QID search index=qualys QID_INFO PATCHABLE=1 | join HOST_ID search index=qualys HOSTSUMMARY: OS=""Windows*"" NOT ""Windows Server*"" | where cidrmatch(""10.128.0.0/9"", IP)  | stats count(QID) as #_Vulns by OS | sort -#_Vulns | addcoltotals #_Vulns'",2016-01-28T21:54:31+00:00,
Qualys Hosts not Scanned in 30 days+ -,CattyWampus,Qualys,The following Splunk Search (query) is for Qualys and will show hosts that have not been scanned in 30 days or more. This query assumes that your index is defined as qualys. ,"'index=qualys HOSTVULN earliest=-30d@d STATUS=""RE-OPENED""  | dedup HOST_ID, QID sortby +_time  | join HOST_ID search index=qualys HOSTSUMMARY OS=""Windows*"" NOT ""Windows Server*"" | where cidrmatch(""10.128.0.0/9"", IP)  | timechart span=1d count(QID) by SEVERITY'",2016-01-28T21:56:04+00:00,2016-02-01T12:37:27+00:00
Qualys 30 Day trending of Re-Opened Vulnerabilities -,CattyWampus,Qualys,The following Splunk Search (query) is for Qualys and will show a trending over 30 days for re-opened vulnerabilities. This query assumes that your index is defined as qualys. ,"'index=qualys HOSTVULN earliest=-30d@d STATUS=""RE-OPENED""  | dedup HOST_ID, QID sortby +_time  | join HOST_ID search index=qualys HOSTSUMMARY OS=""Windows*"" NOT ""Windows Server*"" | where cidrmatch(""10.128.0.0/9"", IP)  | timechart span=1d count(QID) by SEVERITY'",2016-01-28T21:55:43+00:00,2016-02-01T12:37:51+00:00
Qualys Top 10 Vulnerabilities by Severity -,CattyWampus,Qualys,The following Splunk Search (query) is for Qualys and will show the top 10 vulnerabilities by severity as well as a Count of Devices. ,"'sourcetype=qualys_vm_detection HOSTVULN SEVERITY=3 OR 4 OR 5 TYPE=""CONFIRMED"" earliest=-30d@d| dedup HOST_ID, QID | search STATUS!=""FIXED"" | join QID search sourcetype=qualys_knowledgebase PATCHABLE=1    | eval Published=strftime(strptime(PUBLISHED_DATETIME, ""%Y-%m-%d""), ""%m/%d/%Y"") | join HOST_ID search sourcetype=qualys_vm_detection HOSTSUMMARY OS=""Windows*"" NOT ""Windows Server*"" | where cidrmatch(""10.128.0.0/9"", IP)    |  stats count(HOST_ID) as #_Hosts by QID, Published, TITLE, SEVERITY | sort  -SEVERITY, 10 -#_Hosts'",2016-01-28T21:55:10+00:00,2016-02-01T12:38:01+00:00
List of Login Attempts to Splunk -,CattyWampus,audittrail,This will return a list of users who attempted to login to the splunk searchhead. It will list both successful attempts and failed attempts. ,"'index=_audit tag=authentication | stats count by user, info | sort - info'",2014-11-10T13:44:15+00:00,2016-02-01T13:11:28+00:00
Splunk Query to report on users logging on to the Splunk Web Console -,Suren,_internal,,'index=_audit tag=authentication info=succeeded |dedup user | table user timestamp',2015-08-27T15:50:41+00:00,2016-02-01T13:14:42+00:00
Traffic Volume by Forwarder -,SplunkNinja,_internal,"This Splunk search query will show you the top 10 &#8220;chattiest&#8221; forwarders on your network. I&#8217;ve used this query to determine why some forwarders were sending more data than others. The results are displayed in kilobits, you could use an eval to change it to the appropriate size for your network. ","'index=""_internal"" source=""*metrics.lo*"" group=tcpin_connections NOT eventType=* | eval sourceHost=if(isnull(hostname), sourceHost,hostname) | search sourceHost=*** | timechart per_second(kb) by sourceHost WHERE max in top5 useother=f'",2016-02-02T16:04:18+00:00,
Convert non timestamp time to Epoch -,SplunkNinja,Uncategorized,Scenario: You have a non timestamp field that you need to convert to epoch time to perform statistics on within splunk. Here&#8217;s how you do it: ,"'your search goes here |eval Epoch_Time=strptime(Field_Date, ""%Y-%m-%d %H:%M:%S"")'",2016-02-29T19:34:38+00:00,
Count of Attackers on Juniper Devices -,ItsJohnLocke,Juniper,The following is a Splunk search query that indicates potential \u201cattacks\u201d by source IP. \xa0Further investigation will be needed to determine accuracy of attacks. ,"'sourcetype = ""juniper:idp"" attack* | stats count by src_ip'",2016-03-19T17:43:35+00:00,
Available Memory in a Windows box -,SplunkNinja,Perfmon:Available Memory,"This query will return results based on amount of available memory. I output it to a gauge, you&#8217;ll want to modify your gauge to show up red as it approaches zero. ","'sourcetype=""Perfmon:Available Memory"" | bucket _time span=1m | eval gigabytes=(((Value/1024)/1024)/1024) | eval GB=round(gigabytes, 2) | gauge GB', u'source=\u201dPerfmon:Memory\u201d counter=\u201dAvailable Mbytes\u201d | bucket _time span=1m | eval gigabytes=(Value/1024) | eval GB=round(gigabytes, 2) | gauge GB'",2014-11-18T17:28:41+00:00,2016-04-01T21:31:08+00:00
Top Visited Pages in IIS Web Logs -,SplunkNinja,IIS,,"'sourcetype=""iis"" cs_Referer!=""-"" |dedup 20 JSESSIONID| top limit=21 cs_Referer |addtotals col=t labelfield=change_name label=Total |fields - Total | eval percent = round(percent,2) . "" %"" | rename count as Visits | rename percent as ""% Visits"" | rename change_name as ""Subtotal for rows 1-20"" | fields cs_Referer, ""Subtotal for rows 1-20"", Visits, ""% Visits"" |sort - Visits|rename cs_Referer to Page'",2016-04-08T19:01:05+00:00,
Timestamp vs Indextime of Events (Diagnostic Query) -,SplunkNinja,splunkd,"This query has in the past help me track down issues between forwarders and indexers, and even on occasion finding some time sync issues. Feel free to tweak, modify, and improve upon this query as I&#8217;m not 100% certain the math will work in your favor outside of highlighting (positive or negative) time differences! ","'index=* |eventstats max(_time) as MAXt max(_indextime) as MAXit by host|eval timediff=round(MAXt - MAXit)| convert ctime(MAXit) as idxtime ctime(MAXt) as Date |dedup timediff host | table idxtime Date timediff host | sort - timediff | rename Date as ""Timestamp of Event"" idxtime as ""Index Time Timestamp""'",2016-04-08T19:42:03+00:00,
Memory Usage and Information on Splunk Server -,ItsJohnLocke,REST,"This Splunk Search Query will perform a rest call to indicate current memory consumption on the Splunk server(s) itself/themselves: *NOTE* The following has been modified from the &#8220;Distributed Management Console&#8221; to be more generic for a copy, paste, and search example. ","'| rest splunk_server=* /services/server/status/resource-usage/hostwide \xa0| stats first(normalized_load_avg_1min) as load_average first(cpu_system_pct) as system, first(cpu_user_pct) as user first(mem) AS mem first(mem_used) AS mem_used by splunk_server | fields splunk_server mem mem_used | eval pctmemused=round((mem_used/mem)*100).""%"" | table splunk_server pctmemused | rename splunk_server as ""Splunk Server"" pctmemused as ""Percent of Memory Used""'",2016-05-04T10:18:15+00:00,
Count of Splunk Errors Per Host -,ItsJohnLocke,_internal,The following Splunk query will list the number of errors associated with each host over a given time range: ,"'index=_internal sourcetype=""splunkd"" log_level=""ERROR""\xa0 host!=splunk_server | stats count by host | sort - count'",2016-05-06T00:35:12+00:00,
Detailed list of Errors Per Host -,ItsJohnLocke,_internal,The following Splunk search will return a detailed list (by message) of errors associated with hosts running a universal forwarder: ,"'index=_internal sourcetype=""splunkd"" log_level=""ERROR"" | stats sparkline count dc(host) as uniqhosts last(message) as message last(_time) as last first(_time) as first by punct\xa0 | convert ctime(last) ctime(first) | table message count uniqhosts sparkline first last | sort -count | rename message as ""Error Output"" count as Count uniqhosts as ""Number of Hosts"" first as ""First Occurance"" last as ""Most Recent Occurance""'",2016-05-06T00:37:19+00:00,
List of Sourcetypes Sent by Forwarder -,SplunkNinja,_internal,The following Splunk search will show a list of sourcetypes (or perhaps sources I need to confirm) being sent by each Forwarder: ,"'index=""_internal"" |where host!=splunk_server | stats values(series) as Sourcetypes by host'",2016-05-06T00:44:11+00:00,
Count of Host added to Splunk by Month -,kishorebk,_internal,Can we get a Splunk Query that list of hosts added to Splunk in a month. \xa0Like Month 1 : 200 devices added Month 2: 400 devices added &nbsp; You would do this: ,'host=* | stats dc(host) as host by date_month',2016-05-13T13:38:57+00:00,2016-05-13T15:08:19+00:00
RFQ (Request For Query) - Port Scan -,rashid47010,RFQ - Request For Query,I am looking for the query,,2016-06-03T11:18:43+00:00,2016-06-03T11:18:53+00:00
Malware Detection -,ItsJohnLocke,Malware,I&#8217;m reposting this query I stumbled upon in a blog here. The description states that it can be used to detect malware reporting out to the web. Check out the article it&#8217;s a decent read. ,"'search.goes.here\xa0| convert mktime(_time) as epoch | sort 0 uri_host,client_ip,epoch | delta epoch as epoch_delta | search epoch_delta&gt;0 epoch_delta&lt;30 | chart count over epoch_delta by uri_host'",2016-06-15T19:58:09+00:00,2016-06-15T19:59:51+00:00
Worldmap with unique visitors last 24 hours -,m1ll3n1umf4lc0n,access_combined,,"'sourcetype=access_combined | iplocation sourceIP | stats dc(sourceIP) by Country | geom geo_countries featureIdField=""Country"" earliest=-24h'",2016-06-30T00:26:19+00:00,
Number of mails sent over time (Postfix) -,m1ll3n1umf4lc0n,postfix_syslog,,'sourcetype=postfix_syslog host=insertHostnameHere status=sent | timechart span=1d count',2016-06-30T00:27:17+00:00,2016-06-30T14:21:40+00:00
Nr. of unique visitors per hour timechart -,m1ll3n1umf4lc0n,access_combined,,'host=insertHostnameHere sourcetype=access_combined | timechart span=1h dc(sourceIP)',2016-06-30T00:26:44+00:00,2016-06-30T14:21:50+00:00
Convert Seconds to Hours Minutes Seconds HHMMSS -,SplunkNinja,eval,Take any field in splunk that outputs a value in seconds and change it to report in HH:MM:SS format: ,"'your.search.here\xa0| eval HHMMSS=tostring(Field_In_Seconds, ""duration"") | table HHMMSS'",2016-07-15T12:57:09+00:00,2016-07-15T12:58:42+00:00
Show uptime in Days -,manderso,Unix:Uptime,The following query shows uptime of all systems over a certain period of time (days_uptime). Replace my indexes w/ yours. ,"'\xa0index=os OR index=idx_appdev sourcetype=Unix:Uptime OR sourcetype=""WMI:Uptime"" |dedup host |eval DaysUp=round(SystemUpTime/86400,2) |eval Years=round(DaysUp/365,2) |eval Months=round(DaysUp/30,2)|search DaysUp &gt; $days_uptime$ | table host DaysUp Years Months SystemUpTime |sort - SystemUpTime |'",2016-07-20T02:26:27+00:00,
License Usage by Index per Day -,SplunkNinja,_internal,The following Splunk search query will output license usage for each index for each day for the week to date. It will also output an average for each index over the course of the given time period. &nbsp; ,"'index=_internal source=*license_usage.log type=""Usage"" splunk_server=* earliest=-1w@d | eval Date=strftime(_time, ""%Y/%m/%d"") | eventstats sum(b) as volume by idx, Date | eval MB=round(volume/1024/1024,5)| timechart first(MB) AS volume by idx '",2015-08-25T10:44:21+00:00,2016-08-12T17:41:19+00:00
Pass the Hash Detection -,srilankanmonkey,WinEventLog:Security,,"'index=""wineventlog"" ( EventCode=4624 Logon_Type=3 ) OR ( EventCode=4625 Logon_Type=3 ) Authentication_Package=""NTLM"" NOT Account_Domain=YOURDOMAIN\xa0NOT Account_Name=""ANONYMOUS LOGON""'",2016-08-12T17:58:23+00:00,
Linux Free Disk Space -,SplunkNinja,Linux Performance,The following Splunk query shows a percentage of free disk space over a period of time using timechart: ,"'index=os sourcetype=df PercentFreeSpace=* mount=""/"" | timechart latest(PercentFreeSpace) by host'",2016-09-10T15:35:59+00:00,2016-09-10T15:38:49+00:00
Linux Memory Usage -,SplunkNinja,Linux Performance,The following Splunk Search will show memory usage on a linux machine over a period of time using timechart: ,'index=os sourcetype=top pctMEM=*| transaction host _time | streamstats window=1 global=f sum(pctMEM) as MEM | timechart latest(MEM) by host',2016-09-10T15:34:54+00:00,2016-09-12T21:05:58+00:00
Linux CPU Usage -,SplunkNinja,Linux Performance,The following query will output CPU usage per host over a period of time using timechart: ,'index=os sourcetype=top pctCPU=* | transaction host _time | streamstats window=1 global=f sum(pctCPU) as CPU | timechart latest(CPU) by host',2016-09-10T15:33:48+00:00,2016-09-12T21:06:13+00:00
Top Header cpu &amp; memory status -,manderso,Linux Performance,"I didn&#8217;t like the CPU input from the Splunk TA Nix app, so I created this small ingest from top. The script\xa0takes a snapshot of the top command, and looks directly at the header: ","""top -b -n 1 | sed -n '1,5p'"", u'index=os sourcetype=top_header host=* |timechart span=1m values(load_1minavg) values(load_5minavg) values(load_15minavg) by host', u'index=os sourcetype=top_header host=* | eval percentUsed=mem_used/mem_total*100 | gauge percentUsed by host'",2016-09-22T18:39:58+00:00,
Pearson Coefficient of Two Fields -,yangzd,Fun Stuff &amp; Helpful Hints,The following SPL query calculates the Pearson coefficient of two fields named x and y. ,,2016-10-13T23:45:18+00:00,
All indexes not explicitly granted to a role -,ItsJohnLocke,REST,,,2016-10-19T11:35:56+00:00,2016-10-19T11:37:34+00:00
Every index explicitly granted to a role -,ItsJohnLocke,REST,"Self explanatory, maps roles to indexes. Useful if you have a lot of indexes! ",,2016-10-19T11:40:13+00:00,
Splunk Objects With Permissions Granted to Non-existent Roles -,ItsJohnLocke,REST,Useful search to show a bit of detail on roles and user permissions. ,,2016-10-19T11:41:12+00:00,
IIS Response Time -,kharris,IIS,,"'host=""*""\xa0 sourcetype=iis\xa0(insertIISurl) | eval time_taken = time_taken/1000\xa0 | stats\xa0 max(time_taken) AS ""Highest Response Time""', u'host=""*""\xa0 sourcetype=iis\xa0(insertIISurl) | eval time_taken = time_taken/1000\xa0 | stats\xa0 avg(time_taken) AS ""Average Response Time""', u'host=""*""\xa0 sourcetype=iis\xa0(insertIISurl) | eval time_taken = time_taken/1000\xa0 | stats\xa0 fastest(time_taken) AS ""Fastest Response Time""', u'host=""*""\xa0 sourcetype=iis\xa0""google.com"" | eval time_taken = time_taken/1000\xa0 | stats\xa0 max(time_taken) AS ""Highest Response Time""', u'', u''",2016-10-21T19:38:00+00:00,
REST Call for Splunk Server Role Status -,ItsJohnLocke,REST,This REST Splunk search returns the status of roles on each Splunk server in your environment. ,'| rest /services/server/introspection | table title splunk_server status updated',2016-10-25T10:14:42+00:00,
REST Call for a list of Lookup Files -,ItsJohnLocke,REST,Use this splunk search to get a list of all lookup files: ,'| rest /services/data/transforms/lookups | table eai:acl.app eai:appName filename title fields_list updated id',2016-10-26T11:47:30+00:00,
Average Splunk Web requests by hour -,ItsJohnLocke,_internal,This query is pretty awesome! It helped enlighten us to exactly when our splunk infrastructure is being hit with users ,,2016-10-19T11:39:02+00:00,2016-10-27T10:13:55+00:00
REST Call for Memory &amp; CPU usage on Splunk Servers -,ItsJohnLocke,REST,This Splunk search will show you use and available CPU and Memory statistics. Depending on your environment you may see multiple Splunk servers: ,"'| rest  /services/server/status/resource-usage/hostwide | eval cpu_count = if(isnull(cpu_count), ""N/A"", cpu_count) | eval cpu_usage = cpu_system_pct + cpu_user_pct | eval mem_used_pct = round(mem_used / mem * 100 , 2) | eval mem_used = round(mem_used, 0) | eval mem = round(mem, 0) |eval mem=tostring(mem, ""commas"") | eval mem_used=tostring(mem_used, ""commas"")| fields splunk_server, cpu_count, cpu_usage, mem, mem_used, mem_used_pct | sort - cpu_usage, -mem_used | rename splunk_server AS Instance, cpu_count AS ""CPU Cores"", cpu_usage AS ""CPU Usage (%)"", mem AS ""Physical Memory Capacity (MB)"", mem_used AS ""Physical Memory Usage (MB)"", mem_used_pct AS ""Physical Memory Usage (%)""'",2016-11-03T02:09:29+00:00,2016-11-03T02:10:01+00:00
Show all currently logged in users -,ItsJohnLocke,REST,,,2016-11-03T10:19:43+00:00,
List Inputs using REST -,ItsJohnLocke,REST,As the title says. Pretty nice Splunk Search if you&#8217;ve forgotten what inputs you have configured and need a central place to list them. ,"'| rest /services/data/inputs/all | convert ctime(starttime) AS ""Start Time""\xa0 | convert ctime(endtime) AS ""End Time"" | table index interval source sourcetype title updated starttime endtime ""Start Time"" ""End Time""'",2016-11-10T12:06:47+00:00,
List of Props.conf Extractions -,ItsJohnLocke,REST,Useful Splunk Query to show extractions from Props.conf: ,'| rest /services/data/props/extractions | table title type value attribute',2016-11-10T12:10:14+00:00,
List of Extractions in Transforms.conf -,ItsJohnLocke,REST,Useful Splunk Query to show REGEX extractions in Transforms.conf ,'| rest /services/data/transforms/extractions | table title eai:appName REGEX FORMAT updated',2016-11-10T12:11:16+00:00,
List of Alerts via REST -,ItsJohnLocke,REST,The following Splunk search (query) will show a list of alerts within Splunk via the | rest call: ,'| rest /services/alerts/fired_alerts splunk_server=local| table eai:acl.owner eai:acl.app id title triggered_alert_count',2016-11-29T11:36:18+00:00,
Monitor File Shares being Accessed in Windows -,john117,WinEventLog:Security,This splunk search will show file shares being accessed within windows environments. ,"'sourcetype=""WinEventLog:Security"" EventCode=5140 (Share_Name=""*\\\\C$"" OR Share_Name=""*D$"" OR Share_Name=""*E$"" OR Share_Name=""*F$"" OR Share_Name=""*U$"") NOT Source_Address=""::1"" | eval Destination_Sys1=trim(host,""1"") | eval Destination_Sys2=trim(host,""2"") | eval Dest_Sys1=lower(Destination_Sys1) | eval Dest_Sys2=lower(Destination_Sys2) | rename host AS Destination | rename Account_Domain AS Domain | where Account_Name!=Dest_Sys1 | where Account_Name!=Dest_Sys2 | stats count values(Domain) AS Domain, values(Source_Address) AS Source_IP, values(Destination) AS Destination, dc(Destination) AS Dest_Count, values(Share_Name) AS Share_Name, values(Share_Path) AS Share_Path by Account_Name'",2016-11-29T21:11:25+00:00,
Monitor for Service Changes in Windows -,john117,WinEventLog:System,The following splunk search looks for changes in services within Windows. &nbsp; ,"'sourcetype=""WinEventLog:System"" EventCode=7045 NOT (Service_Name=mgmt_service) | eval Message=split(Message,""."") | eval Short_Message=mvindex(Message,0) | table _time host Service_Name, Service_Type, Service_Start_Type, Service_Account, Short_Message'",2016-11-29T21:12:10+00:00,
Events Sent to Null Que - Internal Logs -,john117,_internal,This will show events that have been sent to the null que within the splunk internal logs. &nbsp; ,"'index=_internal component=metrics processor=nullqueue group=pipeline sourcetype=splunkd | table _time log_level name processor cpu_seconds executes, cumulative_hits'",2016-12-14T19:02:18+00:00,
Qualys - Number of Hosts Scanned -,SplunkNinja,Qualys,The following Splunk query will show the number of hosts scanned within the Qualys Sourcetype: ,"'eventtype=""qualys_vm_detection_event"" |eval Success= if(SEVERITY &gt;3,1,0)|stats count as total sum(Success) as success|eval Per_high=(success/total)*100 |'",2016-12-15T14:40:45+00:00,
Number of Vulnerabilities Detected - Qualys -,SplunkNinja,Qualys,The following Splunk query will show the number of vulnerabilities detected all severities and all types within the Qualys Sourcetype: ,"'eventtype=""qualys_vm_detection_event"" STATUS=""NEW""\xa0 | dedup QID |stats count by SEVERITY'",2016-12-15T14:42:30+00:00,
New Vulnerabilities Detected Since Last Scan - Qualys -,SplunkNinja,Qualys,As the title suggests this Splunk Search will dedup results so you can better see changes in Vulnerability detection scan to scan\xa0within the Qualys Sourcetype: ,"'eventtype=""qualys_vm_detection_event"" | dedup QID |stats count by SEVERITY'",2016-12-15T14:48:51+00:00,
Hosts Taking a Long Time to Scan - Qualys -,SplunkNinja,Qualys,The following Splunk query will show the hosts taking an abnormally lengthy time to scan (helps find that needle in a haystack) within the Qualys Sourcetype: ,"'sourcetype=""qualys:hostDetection"" eventtype=qualys_host_summary_event SCAN_DURATION&gt; 1800 | sort -SCAN_DURATION | table IP, DNS, OS, SCAN_DURATION'",2016-12-15T14:44:59+00:00,2016-12-15T14:49:07+00:00
